quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,980000,734000,3600
Q1 2024,East,1340000,945000,4800
Q1 2024,West,1560000,1102000,5500
Q2 2024,North,1280000,867000,4650
Q2 2024,South,1045000,761000,3850
Q2 2024,East,1415000,978000,5100
Q2 2024,West,1720000,1189000,6020
Q3 2024,North,1390000,921000,5020
Q3 2024,South,1110000,798000,4100
Q3 2024,East,1530000,1045000,5480
Q3 2024,West,1875000,1267000,6540
Q4 2024,North,1520000,1034000,5480
Q4 2024,South,1230000,871000,4520
Q4 2024,East,1695000,1143000,6010
Q4 2024,West,2045000,1378000,7120
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1075000,769000,3950
Q1 2025,East,1480000,1012000,5300
Q1 2025,West,1640000,1145000,5780
Q2 2025,North,1375000,942000,4920
Q2 2025,South,1158000,812000,4280
Q2 2025,East,1567000,1067000,5610
Q2 2025,West,1810000,1234000,6340
