quarter,region,revenue,expenses,units_sold
Q1 2023,North,1125000,820000,4100
Q1 2023,South,980000,740000,3600
Q1 2023,East,1340000,950000,4800
Q1 2023,West,1560000,1080000,5500
Q2 2023,North,1210000,855000,4350
Q2 2023,South,1045000,770000,3850
Q2 2023,East,1420000,990000,5100
Q2 2023,West,1675000,1120000,5900
Q3 2023,North,1380000,910000,4900
Q3 2023,South,1190000,830000,4300
Q3 2023,East,1580000,1050000,5600
Q3 2023,West,1820000,1200000,6400
Q4 2023,North,1490000,980000,5300
Q4 2023,South,1320000,900000,4750
Q4 2023,East,1710000,1130000,6100
Q4 2023,West,1950000,1290000,6900
Q1 2024,North,1250000,890000,4500
Q1 2024,South,1080000,760000,3900
Q1 2024,East,1460000,1010000,5200
Q1 2024,West,1700000,1150000,6000
Q2 2024,North,1340000,930000,4750
Q2 2024,South,1155000,800000,4150
Q2 2024,East,1550000,1060000,5500
Q2 2024,West,1810000,1210000,6350
Q3 2024,North,1475000,975000,5200
Q3 2024,South,1270000,865000,4600
Q3 2024,East,1690000,1110000,6000
Q3 2024,West,1960000,1280000,6850
Q4 2024,North,1620000,1045000,5700
Q4 2024,South,1410000,945000,5050
