quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,987000,734000,3650
Q1 2024,East,1342000,945000,4820
Q1 2024,West,1567000,1102000,5430
Q2 2024,North,1284000,891000,4590
Q2 2024,South,1053000,768000,3890
Q2 2024,East,1478000,1023000,5210
Q2 2024,West,1712000,1187000,5870
Q3 2024,North,1391000,954000,4930
Q3 2024,South,1198000,845000,4340
Q3 2024,East,1623000,1098000,5680
Q3 2024,West,1845000,1264000,6210
Q4 2024,North,1502000,1034000,5280
Q4 2024,South,1347000,923000,4810
Q4 2024,East,1789000,1201000,6140
Q4 2024,West,2103000,1423000,7050
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1089000,761000,3920
Q1 2025,East,1534000,1067000,5390
Q1 2025,West,1678000,1145000,5760
Q2 2025,North,1378000,948000,4870
Q2 2025,South,1214000,832000,4280
Q2 2025,East,1692000,1134000,5830
Q2 2025,West,1923000,1298000,6490
