quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,987000,734000,3650
Q1 2024,East,1342000,945000,4820
Q1 2024,West,1567000,1102000,5430
Q2 2024,North,1284000,891000,4590
Q2 2024,South,1053000,768000,3890
Q2 2024,East,1478000,1023000,5210
Q2 2024,West,1712000,1187000,5870
Q3 2024,North,1391000,954000,4930
Q3 2024,South,1198000,845000,4340
Q3 2024,East,1623000,1098000,5680
Q3 2024,West,1889000,1274000,6320
Q4 2024,North,1502000,1034000,5280
Q4 2024,South,1347000,923000,4810
Q4 2024,East,1754000,1167000,6050
Q4 2024,West,2103000,1398000,7140
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1089000,761000,3920
Q1 2025,East,1415000,987000,5030
Q1 2025,West,1638000,1143000,5610
Q2 2025,North,1378000,952000,4870
Q2 2025,South,1162000,803000,4190
Q2 2025,East,1591000,1074000,5540
Q2 2025,West,1847000,1261000,6230
