quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,987000,734000,3650
Q1 2024,East,1342000,945000,4820
Q1 2024,West,1567000,1102000,5430
Q2 2024,North,1284000,891000,4590
Q2 2024,South,1123000,798000,4010
Q2 2024,East,1498000,1034000,5270
Q2 2024,West,1732000,1198000,5910
Q3 2024,North,1391000,963000,4870
Q3 2024,South,1245000,867000,4380
Q3 2024,East,1623000,1121000,5640
Q3 2024,West,1889000,1287000,6320
Q4 2024,North,1478000,1045000,5210
Q4 2024,South,1367000,952000,4750
Q4 2024,East,1754000,1213000,6080
Q4 2024,West,2045000,1401000,6890
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1098000,781000,3920
Q1 2025,East,1415000,987000,5010
Q1 2025,West,1678000,1156000,5720
Q2 2025,North,1389000,962000,4830
Q2 2025,South,1234000,856000,4290
Q2 2025,East,1587000,1098000,5480
Q2 2025,West,1843000,1267000,6150
