quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,987000,734000,3650
Q1 2024,East,1342000,945000,4820
Q1 2024,West,1567000,1102000,5430
Q2 2024,North,1284000,891000,4590
Q2 2024,South,1103000,798000,4010
Q2 2024,East,1478000,1023000,5210
Q2 2024,West,1712000,1187000,5890
Q3 2024,North,1398000,963000,4980
Q3 2024,South,1245000,867000,4430
Q3 2024,East,1601000,1098000,5640
Q3 2024,West,1834000,1256000,6210
Q4 2024,North,1521000,1045000,5320
Q4 2024,South,1389000,952000,4870
Q4 2024,East,1743000,1187000,6050
Q4 2024,West,2015000,1378000,6780
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1098000,762000,3920
Q1 2025,East,1415000,987000,5010
Q1 2025,West,1623000,1134000,5560
Q2 2025,North,1367000,948000,4810
Q2 2025,South,1212000,834000,4280
Q2 2025,East,1589000,1076000,5530
Q2 2025,West,1798000,1243000,6120
