quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,980000,734000,3600
Q1 2024,East,1340000,945000,4800
Q1 2024,West,1560000,1102000,5500
Q2 2024,North,1280000,867000,4650
Q2 2024,South,1045000,761000,3850
Q2 2024,East,1415000,978000,5100
Q2 2024,West,1720000,1189000,6050
Q3 2024,North,1390000,921000,5020
Q3 2024,South,1110000,798000,4100
Q3 2024,East,1530000,1034000,5480
Q3 2024,West,1875000,1267000,6540
Q4 2024,North,1475000,1015000,5300
Q4 2024,South,1230000,876000,4520
Q4 2024,East,1680000,1143000,5990
Q4 2024,West,2050000,1398000,7120
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1095000,782000,4020
Q1 2025,East,1460000,1012000,5230
Q1 2025,West,1685000,1178000,5890
Q2 2025,North,1335000,934000,4810
Q2 2025,South,1158000,821000,4270
Q2 2025,East,1545000,1067000,5540
Q2 2025,West,1798000,1241000,6280
